TIME,X,Y,Z
34419,0.00,-0.01,-0.01
34458,0.00,-0.01,-0.01
34488,0.00,-0.01,-0.01
34514,0.00,-0.01,-0.01
34541,0.00,-0.01,-0.01
34567,0.00,-0.01,-0.01
34596,0.00,-0.01,-0.01
34622,0.00,-0.01,-0.01
34649,0.00,-0.01,-0.01
34676,0.00,-0.01,-0.01
34702,0.00,-0.01,-0.01
34729,0.00,-0.01,-0.01
34755,0.00,-0.01,-0.01
34784,0.00,-0.01,-0.01
34811,0.00,-0.01,-0.01
34837,0.00,-0.01,-0.01
34864,0.00,-0.01,-0.01
34890,0.00,-0.02,-0.01
34917,0.00,-0.01,-0.01
34946,0.00,-0.01,-0.01
34973,0.00,-0.01,-0.01
34999,0.00,-0.01,-0.01
35025,0.00,-0.01,-0.01
35052,0.00,-0.01,-0.01
35078,0.00,-0.01,-0.01
35105,0.00,-0.01,0.00
35134,0.00,-0.01,-0.01
35164,0.00,-0.01,-0.01
35189,0.00,-0.02,-0.01
35218,0.00,-0.01,-0.01
35245,0.00,-0.01,-0.01
35271,0.00,-0.02,-0.01
35300,0.00,-0.02,-0.01
35327,0.00,-0.02,-0.01
35354,0.00,-0.01,-0.01
35380,0.00,-0.01,-0.01
35407,0.00,-0.01,-0.01
35433,0.00,-0.01,-0.01
35459,0.00,-0.01,-0.01
35489,0.00,-0.02,-0.01
35515,0.00,-0.01,-0.01
35542,0.00,-0.01,-0.01
35568,0.00,-0.01,-0.01
35595,0.00,-0.01,-0.01
35621,0.00,-0.01,-0.01
35650,0.00,-0.01,-0.01
35676,0.00,-0.02,-0.01
35703,0.00,-0.01,-0.01
35729,0.00,-0.01,-0.01
35756,0.00,-0.01,-0.01
35782,0.00,-0.01,-0.01
35809,0.00,-0.02,-0.01
35837,0.00,-0.01,-0.01
35864,0.00,-0.01,-0.01
35890,0.00,-0.01,-0.01
35917,0.00,-0.01,-0.01
35946,0.00,-0.01,-0.01
35973,0.00,-0.01,-0.01
36002,0.00,-0.01,-0.01
36028,0.00,-0.01,-0.01
36055,0.00,-0.02,-0.01
36081,0.00,-0.01,-0.01
36108,0.00,-0.01,-0.01
36134,0.00,-0.01,-0.01
36164,0.00,-0.01,-0.01
36190,0.00,-0.01,-0.01
36217,0.00,-0.01,-0.01
36243,0.00,-0.01,-0.01
36270,0.00,-0.01,-0.01
36296,0.00,-0.02,-0.01
36323,0.00,-0.01,-0.01
36352,0.00,-0.01,-0.01
36379,0.00,-0.01,-0.01
36405,0.00,-0.01,-0.01
36432,0.00,-0.01,-0.01
36458,0.00,-0.01,-0.01
36485,0.00,-0.01,-0.01
36514,0.00,-0.02,-0.01
36540,0.00,-0.01,-0.01
36567,0.00,-0.01,-0.01
36593,0.00,-0.01,-0.01
36620,0.00,-0.02,-0.01
36647,0.01,-0.02,-0.01
36673,0.01,-0.02,0.00
36702,0.00,-0.01,-0.01
36731,0.00,-0.02,-0.01
36761,0.00,-0.02,-0.01
36786,0.00,-0.01,-0.01
36812,0.00,-0.02,-0.01
36839,0.00,-0.01,-0.01
36868,0.00,-0.01,-0.01
36895,0.00,-0.01,-0.01
36921,0.00,-0.01,-0.01
36948,0.00,-0.01,-0.01
36975,0.00,-0.01,-0.01
37001,0.00,-0.01,-0.01
37028,0.00,-0.01,-0.01
37056,0.00,-0.02,-0.01
37083,0.00,-0.01,-0.01
37109,0.00,-0.01,-0.01
37136,0.00,-0.01,-0.01
37162,0.00,-0.01,-0.01
37189,0.00,-0.01,-0.01
37218,0.00,-0.01,-0.01
37244,0.00,-0.01,-0.01
37271,0.00,-0.01,-0.01
37297,0.00,-0.01,-0.01
37324,0.00,-0.01,-0.01
37350,0.00,-0.01,-0.01
37377,0.00,-0.02,-0.01
37405,0.00,-0.02,-0.01
37432,0.00,-0.02,-0.01
37458,0.00,-0.01,-0.01
37485,0.00,-0.02,-0.01
37513,0.00,-0.01,-0.01
37540,0.00,-0.01,-0.01
37569,0.00,-0.02,0.00
37595,0.00,-0.01,-0.01
37622,0.00,-0.01,-0.01
37648,0.00,-0.01,-0.01
37675,0.00,-0.01,-0.01
37701,0.00,-0.01,-0.01
